Date,Total Reserves
1/1/2000,58849710121
2/1/2000,58260802533
3/1/2000,59741053031
4/1/2000,55556036635
5/1/2000,56111667202
6/1/2000,56909120261
7/1/2000,55471258785
8/1/2000,54286713467
9/1/2000,55210257520
10/1/2000,54211505025
11/1/2000,54476433459
12/1/2000,56600377653
1/1/2001,56496022663
2/1/2001,55439543271
3/1/2001,53175327062
4/1/2001,53684889242
5/1/2001,54209380054
6/1/2001,53803294797
7/1/2001,54692058914
8/1/2001,56808392777
9/1/2001,59902163524
10/1/2001,58661702745
11/1/2001,58112273575
12/1/2001,57633677028
1/1/2002,56487849115
2/1/2002,56313013562
3/1/2002,56529385548
4/1/2002,56800011681
5/1/2002,58534718848
6/1/2002,63652254563
7/1/2002,63709290712
8/1/2002,64535603679
9/1/2002,64818049433
10/1/2002,64457689474
11/1/2002,64629517498
12/1/2002,67962414914
1/1/2003,67391148303
2/1/2003,67536858585
3/1/2003,69006266735
4/1/2003,69361772642
5/1/2003,71242779884
6/1/2003,70616560913
7/1/2003,69571942165
8/1/2003,69379507204
9/1/2003,73389091008
10/1/2003,73107437436
11/1/2003,74328228110
12/1/2003,74894067978
1/1/2004,74211736658
2/1/2004,73696427469
3/1/2004,74146634612
4/1/2004,71045234938
5/1/2004,71758631155
6/1/2004,71608078822
7/1/2004,70330775518
8/1/2004,71559312923
9/1/2004,71534828235
10/1/2004,73188471042
11/1/2004,75658668454
12/1/2004,75889985333
1/1/2005,70324206891
2/1/2005,69126510987
3/1/2005,67901093520
4/1/2005,68484178331
5/1/2005,66701295696
6/1/2005,65552496379
7/1/2005,63579334498
8/1/2005,61202350750
9/1/2005,60232301927
10/1/2005,59177420010
11/1/2005,57732081971
12/1/2005,54083715802
1/1/2006,54549613118
2/1/2006,54320636632
3/1/2006,54310822771
4/1/2006,55805220977
5/1/2006,56049314400
6/1/2006,56892914222
7/1/2006,56517733830
8/1/2006,55564742014
9/1/2006,55175959033
10/1/2006,54547374656
11/1/2006,55663886979
12/1/2006,54853874761
1/1/2007,54022304708
2/1/2007,55040564448
3/1/2007,55509569466
4/1/2007,55678481519
5/1/2007,54966443506
6/1/2007,55085990950
7/1/2007,55988151458
8/1/2007,56467277006
9/1/2007,58029328386
10/1/2007,58585388707
11/1/2007,59924906229
12/1/2007,59524234464
1/1/2008,60975585384
2/1/2008,62362967285
3/1/2008,64723075702
4/1/2008,63330568024
5/1/2008,64128935560
6/1/2008,64698625673
7/1/2008,63790811748
8/1/2008,61519355558
9/1/2008,60792972886
10/1/2008,58721914229
11/1/2008,62337359164
12/1/2008,66607006100
1/1/2009,64322525476
2/1/2009,62157738999
3/1/2009,63916509796
4/1/2009,64073532898
5/1/2009,70696773100
6/1/2009,70447552880
7/1/2009,71890209058
8/1/2009,1.16E+11
9/1/2009,1.23E+11
10/1/2009,1.24E+11
11/1/2009,1.24E+11
12/1/2009,1.20E+11
1/1/2010,1.19E+11
2/1/2010,1.18E+11
3/1/2010,1.16E+11
4/1/2010,1.15E+11
5/1/2010,1.13E+11
6/1/2010,1.13E+11
7/1/2010,1.18E+11
8/1/2010,1.17E+11
9/1/2010,1.22E+11
10/1/2010,1.24E+11
11/1/2010,1.19E+11
12/1/2010,1.21E+11
1/1/2011,1.23E+11
2/1/2011,1.24E+11
3/1/2011,1.28E+11
4/1/2011,1.32E+11
5/1/2011,1.36E+11
6/1/2011,1.37E+11
7/1/2011,1.39E+11
8/1/2011,1.40E+11
9/1/2011,1.37E+11
10/1/2011,1.40E+11
11/1/2011,1.37E+11
12/1/2011,1.37E+11
1/1/2012,1.38E+11
2/1/2012,1.38E+11
3/1/2012,1.38E+11
4/1/2012,1.41E+11
5/1/2012,1.38E+11
6/1/2012,1.39E+11
7/1/2012,1.38E+11
8/1/2012,1.40E+11
9/1/2012,1.42E+11
10/1/2012,1.41E+11
11/1/2012,1.40E+11
12/1/2012,1.39E+11
1/1/2013,1.41E+11
2/1/2013,1.38E+11
3/1/2013,1.35E+11
4/1/2013,1.36E+11
5/1/2013,1.33E+11
6/1/2013,1.35E+11
7/1/2013,1.36E+11
8/1/2013,1.35E+11
9/1/2013,1.37E+11
10/1/2013,1.36E+11
11/1/2013,1.34E+11
12/1/2013,1.34E+11
1/1/2014,1.33E+11
2/1/2014,1.34E+11
3/1/2014,1.33E+11
4/1/2014,1.33E+11
5/1/2014,1.34E+11
6/1/2014,1.34E+11
7/1/2014,1.32E+11
8/1/2014,1.30E+11
9/1/2014,1.26E+11
10/1/2014,1.25E+11
11/1/2014,1.23E+11
12/1/2014,1.19E+11
1/1/2015,1.16E+11
2/1/2015,1.14E+11
3/1/2015,1.08E+11
4/1/2015,1.10E+11
5/1/2015,1.08E+11
6/1/2015,1.09E+11
7/1/2015,1.08E+11
8/1/2015,1.10E+11
9/1/2015,1.09E+11
10/1/2015,1.08E+11
11/1/2015,1.06E+11
12/1/2015,1.07E+11
1/1/2016,1.06E+11
2/1/2016,1.06E+11
3/1/2016,1.09E+11
4/1/2016,1.10E+11
5/1/2016,1.08E+11
6/1/2016,1.09E+11
7/1/2016,1.09E+11
8/1/2016,1.09E+11
9/1/2016,1.11E+11
10/1/2016,1.10E+11
11/1/2016,1.07E+11
12/1/2016,1.06E+11
1/1/2017,1.08E+11
2/1/2017,1.07E+11
3/1/2017,1.08E+11
4/1/2017,1.09E+11
5/1/2017,1.11E+11
6/1/2017,1.11E+11
7/1/2017,1.13E+11
8/1/2017,1.13E+11
9/1/2017,1.13E+11
10/1/2017,1.12E+11
11/1/2017,1.12E+11
12/1/2017,1.12E+11
1/1/2018,1.15E+11
2/1/2018,1.15E+11
3/1/2018,1.15E+11
4/1/2018,1.13E+11
5/1/2018,1.12E+11
6/1/2018,1.14E+11
7/1/2018,1.14E+11
8/1/2018,1.13E+11
9/1/2018,1.13E+11
10/1/2018,1.13E+11
11/1/2018,1.12E+11
12/1/2018,1.15E+11
1/1/2019,1.15E+11
2/1/2019,1.15E+11
3/1/2019,1.14E+11
4/1/2019,1.16E+11
5/1/2019,1.16E+11
6/1/2019,1.17E+11
7/1/2019,1.18E+11
8/1/2019,1.17E+11
9/1/2019,1.17E+11
10/1/2019,1.18E+11
11/1/2019,1.17E+11
12/1/2019,1.18E+11
1/1/2020,1.18E+11
