Date,Monthly Real GDP Index,GDP Deflator
1/1/2000,12871.783,77.086
2/1/2000,12933.564,77.312
3/1/2000,13000.048,77.576
4/1/2000,13172.809,77.629
5/1/2000,13148.948,77.791
6/1/2000,13189.957,78.003
7/1/2000,13101.62,78.115
8/1/2000,13208.629,78.257
9/1/2000,13240.635,78.421
10/1/2000,13265.763,78.588
11/1/2000,13266.488,78.749
12/1/2000,13254.319,78.727
1/1/2001,13247.133,79.015
2/1/2001,13220.167,79.146
3/1/2001,13190.681,79.452
4/1/2001,13291.505,79.489
5/1/2001,13353.003,79.687
6/1/2001,13259.997,79.873
7/1/2001,13219.423,80.079
8/1/2001,13370.637,80.014
9/1/2001,13154.603,79.894
10/1/2001,13264.897,80.208
11/1/2001,13195.784,80.234
12/1/2001,13394.529,80.29
1/1/2002,13430.497,80.319
2/1/2002,13344.659,80.546
3/1/2002,13410.217,80.645
4/1/2002,13461.807,80.663
5/1/2002,13459.296,80.763
6/1/2002,13511.598,80.92
7/1/2002,13582.264,81.002
8/1/2002,13503.177,81.106
9/1/2002,13510.196,81.408
10/1/2002,13496.937,81.494
11/1/2002,13533.969,81.668
12/1/2002,13617.546,81.749
1/1/2003,13594.548,81.922
2/1/2003,13662.128,82.055
3/1/2003,13602.08,82.157
4/1/2003,13674.264,82.324
5/1/2003,13689.79,82.364
6/1/2003,13860.121,82.29
7/1/2003,13894.319,82.536
8/1/2003,13968.977,82.813
9/1/2003,14048.092,83.03
10/1/2003,14064.962,83.184
11/1/2003,14145.724,83.314
12/1/2003,14184.284,83.414
1/1/2004,14100.068,83.733
2/1/2004,14225.268,83.842
3/1/2004,14312.451,84.103
4/1/2004,14267.668,84.358
5/1/2004,14398.394,84.559
6/1/2004,14303.835,84.784
7/1/2004,14428.176,85.112
8/1/2004,14464.582,85.035
9/1/2004,14481.603,85.183
10/1/2004,14581.506,85.53
11/1/2004,14590.227,85.774
12/1/2004,14645.916,86
1/1/2005,14776.185,86.281
2/1/2005,14750.379,86.442
3/1/2005,14777.877,86.632
4/1/2005,14809.656,86.816
5/1/2005,14779.239,87.173
6/1/2005,14930.999,87.251
7/1/2005,14945.512,87.627
8/1/2005,14981.356,87.794
9/1/2005,14942.803,88.196
10/1/2005,14962.265,88.452
11/1/2005,14997.174,88.68
12/1/2005,15164.988,88.617
1/1/2006,15214.26,88.855
2/1/2006,15195.272,89.289
3/1/2006,15323.343,89.478
4/1/2006,15239.653,89.859
5/1/2006,15312.563,90.008
6/1/2006,15293.022,90.13
7/1/2006,15245.169,90.468
8/1/2006,15303.848,90.726
9/1/2006,15365.302,90.684
10/1/2006,15367.699,90.881
11/1/2006,15476.452,90.849
12/1/2006,15457.554,91.167
1/1/2007,15444.639,91.523
2/1/2007,15546.357,91.894
3/1/2007,15446.558,92.093
4/1/2007,15575.552,92.213
5/1/2007,15570.025,92.492
6/1/2007,15588.27,92.65
7/1/2007,15537.641,92.828
8/1/2007,15722.324,92.867
9/1/2007,15755.277,93.1
10/1/2007,15733.847,93.206
11/1/2007,15758.761,93.372
12/1/2007,15809.278,93.4
1/1/2008,15842.569,93.43
2/1/2008,15621.401,93.638
3/1/2008,15645.256,93.897
4/1/2008,15695.028,94.03
5/1/2008,15735.246,94.071
6/1/2008,15947.926,94.286
7/1/2008,15816.099,94.67
8/1/2008,15742.397,94.758
9/1/2008,15570.437,95.095
10/1/2008,15446.997,95.134
11/1/2008,15461.486,95.065
12/1/2008,15191.512,94.992
1/1/2009,15230.017,95.069
2/1/2009,15180.052,95.145
3/1/2009,15152.648,94.839
4/1/2009,15148.22,94.798
5/1/2009,15166.118,94.802
6/1/2009,15171.149,94.954
7/1/2009,15152.384,94.878
8/1/2009,15244.845,94.982
9/1/2009,15252.962,95.001
10/1/2009,15452.165,95.094
11/1/2009,15385.102,95.316
12/1/2009,15300.421,95.39
1/1/2010,15399.669,95.507
2/1/2010,15435.796,95.462
3/1/2010,15532.733,95.609
4/1/2010,15593.136,95.838
5/1/2010,15574.484,96.038
6/1/2010,15649.516,96.099
7/1/2010,15721.027,96.124
8/1/2010,15690.746,96.29
9/1/2010,15767.227,96.431
10/1/2010,15807.832,96.706
11/1/2010,15761.332,96.852
12/1/2010,15854.949,96.98
1/1/2011,15713.819,97.097
2/1/2011,15692.262,97.386
3/1/2011,15903.612,97.554
4/1/2011,15940.22,97.768
5/1/2011,15869.883,98.089
6/1/2011,15820.546,98.11
7/1/2011,15862.15,98.447
8/1/2011,15935.329,98.623
