Date,NONBORRES
1/1/2000,43900
2/1/2000,42000
3/1/2000,39600
4/1/2000,40300
5/1/2000,41200
6/1/2000,38900
7/1/2000,39300
8/1/2000,38900
9/1/2000,38700
10/1/2000,38300
11/1/2000,38400
12/1/2000,38200
1/1/2001,39500
2/1/2001,39100
3/1/2001,37500
4/1/2001,38500
5/1/2001,39200
6/1/2001,37900
7/1/2001,39000
8/1/2001,39500
9/1/2001,54200
10/1/2001,44500
11/1/2001,40000
12/1/2001,41000
1/1/2002,43700
2/1/2002,42500
3/1/2002,40200
4/1/2002,40900
5/1/2002,40200
6/1/2002,38500
7/1/2002,39200
8/1/2002,39500
9/1/2002,38600
10/1/2002,38500
11/1/2002,38900
12/1/2002,40200
1/1/2003,42800
2/1/2003,41900
3/1/2003,40600
4/1/2003,41100
5/1/2003,41700
6/1/2003,41900
7/1/2003,43500
8/1/2003,45800
9/1/2003,44300
10/1/2003,43000
11/1/2003,42600
12/1/2003,42900
1/1/2004,45400
2/1/2004,43800
3/1/2004,44100
4/1/2004,46000
5/1/2004,46200
6/1/2004,45500
7/1/2004,46500
8/1/2004,45600
9/1/2004,46200
10/1/2004,45500
11/1/2004,45400
12/1/2004,46800
1/1/2005,50400
2/1/2005,46600
3/1/2005,45900
4/1/2005,46400
5/1/2005,46200
6/1/2005,45700
7/1/2005,46700
8/1/2005,45100
9/1/2005,45800
10/1/2005,44500
11/1/2005,44500
12/1/2005,45200
1/1/2006,47000
2/1/2006,44600
3/1/2006,42600
4/1/2006,44500
5/1/2006,45300
6/1/2006,44900
7/1/2006,44600
8/1/2006,42300
9/1/2006,42200
10/1/2006,41500
11/1/2006,42000
12/1/2006,43100
1/1/2007,44400
2/1/2007,42600
3/1/2007,40600
4/1/2007,42400
5/1/2007,44000
6/1/2007,43700
7/1/2007,42600
8/1/2007,44000
9/1/2007,41100
10/1/2007,41800
11/1/2007,42200
12/1/2007,28000
1/1/2008,-800
2/1/2008,-16300
3/1/2008,-50700
4/1/2008,-90400
5/1/2008,-108900
6/1/2008,-125500
7/1/2008,-119700
8/1/2008,-122300
9/1/2008,-187200
10/1/2008,-333500
11/1/2008,-89700
12/1/2008,167300
1/1/2009,296700
2/1/2009,118500
3/1/2009,166000
4/1/2009,323500
5/1/2009,377400
6/1/2009,371000
7/1/2009,429600
8/1/2009,497300
9/1/2009,615800
10/1/2009,791700
11/1/2009,924300
12/1/2009,970500
1/1/2010,970200
2/1/2010,1114300
3/1/2010,1092800
4/1/2010,1037200
5/1/2010,1035700
6/1/2010,1029300
7/1/2010,1021900
8/1/2010,1025000
9/1/2010,995300
10/1/2010,991100
11/1/2010,991900
12/1/2010,1032500
1/1/2011,1078100
2/1/2011,1241800
3/1/2011,1415000
4/1/2011,1510100
5/1/2011,1574700
6/1/2011,1652600
7/1/2011,1684200
8/1/2011,1654700
9/1/2011,1631900
10/1/2011,1627700
11/1/2011,1582100
12/1/2011,1589200
1/1/2012,1610600
2/1/2012,1652000
3/1/2012,1599000
4/1/2012,1579800
5/1/2012,1552300
6/1/2012,1550200
7/1/2012,1579500
8/1/2012,1578900
9/1/2012,1515500
10/1/2012,1524100
11/1/2012,1545100
12/1/2012,1569600
1/1/2013,1636400
2/1/2013,1732900
3/1/2013,1810900
4/1/2013,1884300
5/1/2013,1981600
6/1/2013,2062600
7/1/2013,2147300
8/1/2013,2252300
9/1/2013,2333600
10/1/2013,2427600
11/1/2013,2516900
12/1/2013,2540800
1/1/2014,2556300
2/1/2014,2650000
3/1/2014,2676600
4/1/2014,2714800
5/1/2014,2688200
6/1/2014,2722100
7/1/2014,2758800
8/1/2014,2841800
9/1/2014,2814200
10/1/2014,2760100
11/1/2014,2575000
12/1/2014,2665800
1/1/2015,2745500
2/1/2015,2556100
3/1/2015,2732800
4/1/2015,2756700
5/1/2015,2641600
6/1/2015,2611000
7/1/2015,2649100
8/1/2015,2665800
9/1/2015,2701000
10/1/2015,2725700
11/1/2015,2660200
12/1/2015,2481100
1/1/2016,2439900
2/1/2016,2510800
3/1/2016,2519700
4/1/2016,2486900
5/1/2016,2443700
6/1/2016,2427300
7/1/2016,2371000
8/1/2016,2413300
9/1/2016,2324900
10/1/2016,2155900
11/1/2016,2201600
12/1/2016,2095200
1/1/2017,2158500
2/1/2017,2302900
3/1/2017,2387800
4/1/2017,2344800
5/1/2017,2288900
6/1/2017,2269600
7/1/2017,2296800
8/1/2017,2407000
9/1/2017,2357700
10/1/2017,2310800
11/1/2017,2378200
12/1/2017,2309700
1/1/2018,2281000
2/1/2018,2305200
3/1/2018,2230900
4/1/2018,2151000
5/1/2018,2086500
6/1/2018,2052600
7/1/2018,2014400
8/1/2018,1975800
9/1/2018,1937700
10/1/2018,1895600
11/1/2018,1840700
12/1/2018,1759800
1/1/2019,1707200
2/1/2019,1713700
3/1/2019,1725900
4/1/2019,1623900
5/1/2019,1576300
6/1/2019,1601200
7/1/2019,1578500
8/1/2019,1586700
9/1/2019,1504700
10/1/2019,1547100
11/1/2019,1595200
12/1/2019,1698300
1/1/2020,1715200
