inflation,unemp,interest,date,,,,,,
1.6851,2.9,1.96,1950-01-01,,,,,,
1.449,2.7,2.19,1950-04-01,,,,,,
1.012,2.6,2.04,1950-07-01,,,,,,
0.98077,3.1,1.38,1950-10-01,,,,,,
1.3324,4.9,1.18,1951-01-01,,,,,,
1.2964,5.9,0.97,1951-04-01,,,,,,
0.90879,5.8,0.72,1951-07-01,,,,,,
0.70934,5.7,0.98,1951-10-01,,,,,,
0.6846,4.9,1.22,1952-01-01,,,,,,
1.0629,4.7,1.59,1952-04-01,,,,,,
1.8392,4,1.6,1952-07-01,,,,,,
2.3893,4.3,2.23,1952-10-01,,,,,,
2.995,4,2.41,1953-01-01,,,,,,
3.3752,4,2.6,1953-04-01,,,,,,
3.8037,4.4,2.31,1953-07-01,,,,,,
3.7358,3.9,2.9,1953-10-01,,,,,,
3.9086,4.2,3.11,1954-01-01,,,,,,
3.6647,3.9,3.07,1954-04-01,,,,,,
3.2794,4.2,3.16,1954-07-01,,,,,,
3.1932,4.5,3.58,1954-10-01,,,,,,
2.8994,5.8,2.44,1955-01-01,,,,,,
2.6338,7.4,1.13,1955-04-01,,,,,,
2.1368,7.5,0.91,1955-07-01,,,,,,
1.7696,6.7,2.63,1955-10-01,,,,,,
1.3378,6,2.82,1956-01-01,,,,,,
1.0441,5.2,2.95,1956-04-01,,,,,,
1.0509,5.1,3.2,1956-07-01,,,,,,
1.2872,5.7,4.05,1956-10-01,,,,,,
1.0783,5.2,4.35,1957-01-01,,,,,,
1.3713,5.2,3.23,1957-04-01,,,,,,
1.5551,5.5,2.3,1957-07-01,,,,,,
1.5969,6.1,2.3,1957-10-01,,,,,,
1.4687,6.6,2.24,1958-01-01,,,,,,
1.2098,7,2.29,1958-04-01,,,,,,
1.0051,7,2.24,1958-07-01,,,,,,
0.8213,6.5,2.3,1958-10-01,,,,,,
1.2824,5.8,2.72,1959-01-01,,,,,,
1.3601,5.6,2.73,1959-04-01,,,,,,
1.3659,5.4,2.92,1959-07-01,,,,,,
1.456,5.4,2.74,1959-10-01,,,,,,
1.1638,5.7,2.91,1960-01-01,,,,,,
1.0029,5.7,2.9,1960-04-01,,,,,,
0.91684,5.6,3.18,1960-07-01,,,,,,
1.1628,5.5,3.45,1960-10-01,,,,,,
1.2378,5.6,3.52,1961-01-01,,,,,,
1.4664,5.3,3.47,1961-04-01,,,,,,
1.7711,4.9,3.46,1961-07-01,,,,,,
1.6375,5.1,3.57,1961-10-01,,,,,,
1.7226,4.9,3.81,1962-01-01,,,,,,
1.8394,4.8,3.93,1962-04-01,,,,,,
1.7944,4.4,3.84,1962-07-01,,,,,,
1.9522,4.2,4.03,1962-10-01,,,,,,
2.1314,4,4.59,1963-01-01,,,,,,
2.6336,3.8,4.62,1963-04-01,,,,,,
3.1668,3.8,4.8,1963-07-01,,,,,,
3.438,3.7,5.35,1963-10-01,,,,,,
3.2988,3.9,4.72,1964-01-01,,,,,,
2.9821,3.8,3.84,1964-04-01,,,,,,
2.9365,3.8,4.21,1964-07-01,,,,,,
3.1662,4,4.56,1964-10-01,,,,,,
3.7779,3.7,5,1965-01-01,,,,,,
4.2847,3.5,5.38,1965-04-01,,,,,,
4.3375,3.7,5.31,1965-07-01,,,,,,
4.6407,3.4,5.35,1965-10-01,,,,,,
4.5668,3.4,6.14,1966-01-01,,,,,,
4.7988,3.4,6.11,1966-04-01,,,,,,
5.3084,3.5,7,1966-07-01,,,,,,
5.1681,3.7,7,1966-10-01,,,,,,
5.5772,3.9,7.87,1967-01-01,,,,,,
5.6651,4.6,6.51,1967-04-01,,,,,,
4.9725,5,6.45,1967-07-01,,,,,,
4.9891,5.5,5.91,1967-10-01,,,,,,
5.0941,5.9,4.44,1968-01-01,,,,,,
5.0005,5.9,3.86,1968-04-01,,,,,,
5.2142,6,5.4,1968-07-01,,,,,,
4.7128,5.8,4.46,1968-10-01,,,,,,
4.8718,5.8,3.38,1969-01-01,,,,,,
4.0959,5.7,3.71,1969-04-01,,,,,,
